symbol,company,weight,sector,shares_held
ETFC,E*TRADE Financial Corporation,4.4563559649385534e-4,Financials,2744215
FMC,FMC Corporation,4.455354604139295e-4,Materials,1501506
RJF,Raymond James Financial Inc.,4.435227252074206e-4,Financials,1447828
HRL,Hormel Foods Corporation,4.429619631598361e-4,Consumer Staples,2995114
VIAB,Viacom Inc. Class B,4.402282481778614e-4,Communication Services,3869356
NI,NiSource Inc,4.3975760860220995e-4,Utilities,4151976
FTI,TechnipFMC Plc,4.363930363167026e-4,Energy,4760344
NBL,Noble Energy Inc.,4.312660690245009e-4,Energy,5394863
NCLH,Norwegian Cruise Line Holdings Ltd.,4.3082547027282727e-4,Consumer Discretionary,2419902
URI,United Rentals Inc.,4.2934345628992517e-4,Industrials,911169
PNW,Pinnacle West Capital Corporation,4.273307210834163e-4,Utilities,1257540
JKHY,Jack Henry & Associates Inc.,4.256784757646404e-4,Information Technology,854212
PKI,PerkinElmer Inc.,4.2528794505292973e-4,Health Care,1236901
BEN,Franklin Resources Inc.,4.213926515438155e-4,Financials,3372005
EMN,Eastman Chemical Company,4.196102293211359e-4,Materials,1553103
HSIC,Henry Schein Inc.,4.1904946727355146e-4,Health Care,1681710
COG,Cabot Oil & Gas Corporation,4.1520424180440014e-4,Energy,4860199
RE,Everest Re Group Ltd.,4.150340104685262e-4,Financials,450304
DISCK,Discovery Inc. Class C,4.1490383356462265e-4,Communication Services,3965647
ARNC,Arconic Inc.,4.1279096227818797e-4,Industrials,4473101
CF,CF Industries Holdings Inc.,4.1240043156647727e-4,Materials,2557643
ALLE,Allegion PLC,4.106280229517904e-4,Industrials,1047375
TIF,Tiffany & Co.,4.0602176327520287e-4,Consumer Discretionary,1202182
TAP,Molson Coors Brewing Company Class B,4.054509876196257e-4,Consumer Staples,2063231
APA,Apache Corporation,4.020563745101406e-4,Energy,4190632
HII,Huntington Ingalls Industries Inc.,3.9763035977741955e-4,Industrials,476230
LW,Lamb Weston Holdings Inc.,3.964988220742578e-4,Consumer Staples,1635214
AVY,Avery Dennison Corporation,3.953272299391258e-4,Materials,955608
JEC,Jacobs Engineering Group Inc.,3.94245760275927e-4,Industrials,1307321
FRT,Federal Realty Investment Trust,3.918625215736926e-4,Real Estate,829222
MYL,Mylan N.V.,3.8809740496848193e-4,Health Care,5681013
NRG,NRG Energy Inc.,3.864251324337208e-4,Utilities,2992535
GRMN,Garmin Ltd.,3.776031437922565e-4,Consumer Discretionary,1332350
TMK,Torchmark Corporation,3.759208576495028e-4,Financials,1142806
BF.B,Brown-Forman Corporation Class B,3.741584626428085e-4,Consumer Staples,1849609
MHK,Mohawk Industries Inc.,3.7161500621269274e-4,Consumer Discretionary,695309
DISH,DISH Network Corporation Class A,3.6759954940766756e-4,Communication Services,2509864
PKG,Packaging Corporation of America,3.6713892344000885e-4,Materials,1034106
WRK,WestRock Company,3.6518626988145544e-4,Materials,2812442
JNPR,Juniper Networks Inc.,3.635139973466943e-4,Information Technology,3827598
WU,Western Union Company,3.603997652610015e-4,Information Technology,4921502
WHR,Whirlpool Corporation,3.5950855414966173e-4,Consumer Discretionary,702501
IPG,Interpublic Group of Companies Inc.,3.5211851145113655e-4,Communication Services,4224650
ZION,Zions Bancorporation N.A.,3.5185815764332947e-4,Financials,2139311
SNA,Snap-on Incorporated,3.494849325490876e-4,Industrials,622398
TPR,Tapestry Inc.,3.450989722483369e-4,Consumer Discretionary,3236259
FFIV,F5 Networks Inc.,3.431963867297464e-4,Information Technology,670020
QRVO,Qorvo Inc.,3.413438692511188e-4,Information Technology,1372015
NOV,National Oilwell Varco Inc.,3.381595419094779e-4,Energy,4280170
PHM,PulteGroup Inc.,3.3753869821393786e-4,Consumer Discretionary,2877809
IRM,Iron Mountain Inc.,3.3563611269534735e-4,Real Estate,3152857
LKQ,LKQ Corporation,3.30068546651472e-4,Consumer Discretionary,3505894
BWA,BorgWarner Inc.,3.223981229291546e-4,Consumer Discretionary,2302807
NLSN,Nielsen Holdings Plc,3.222178779852881e-4,Industrials,3928547
IVZ,Invesco Ltd.,3.19804598459076e-4,Financials,4501652
AIV,Apartment Investment and Management Company Class A,3.191737411555433e-4,Real Estate,1723640
KSS,Kohl's Corporation,3.184327341640923e-4,Consumer Discretionary,1844383
MOS,Mosaic Company,3.1526843403843654e-4,Materials,3906956
FBHS,Fortune Brands Home & Security Inc.,3.085793438993921e-4,Industrials,1566254
HFC,HollyFrontier Corporation,3.0849923503545144e-4,Energy,1785716
CPB,Campbell Soup Company,3.0736769733228974e-4,Consumer Staples,2096068
KIM,Kimco Realty Corporation,3.070672890925123e-4,Real Estate,4658902
ALK,Alaska Air Group Inc.,3.069471257966013e-4,Industrials,1351291
ALB,Albemarle Corporation,3.0269134239975417e-4,Materials,1195283
JBHT,J.B. Hunt Transport Services Inc.,2.992366476423135e-4,Industrials,950313
FLIR,FLIR Systems Inc.,2.8959354314545753e-4,Information Technology,1503040
DVA,DaVita Inc.,2.827943033184947e-4,Health Care,1397243
UNM,Unum Group,2.8151256149544425e-4,Financials,2403085
XRX,Xerox Corporation,2.787788465134695e-4,Information Technology,2225083
SLG,SL Green Realty Corp.,2.780077986980407e-4,Real Estate,952361
ADS,Alliance Data Systems Corporation,2.7715664201867127e-4,Information Technology,522051
RHI,Robert Half International Inc.,2.7671604326699766e-4,Industrials,1346437
AIZ,Assurant Inc.,2.720597155504473e-4,Financials,688706
SEE,Sealed Air Corporation,2.7122858608706304e-4,Materials,1749028
PVH,PVH Corp.,2.6752355112980784e-4,Consumer Discretionary,844973
FLS,Flowserve Corporation,2.657211016911432e-4,Industrials,1433881
PBCT,People's United Financial Inc.,2.65200394075529e-4,Financials,4418111
M,Macy's Inc,2.577702969450335e-4,Consumer Discretionary,3357167
AOS,A. O. Smith Corporation,2.5242303027699493e-4,Industrials,1587367
PRGO,Perrigo Co. Plc,2.520124723492991e-4,Health Care,1384842
RL,Ralph Lauren Corporation Class A,2.4716588608088963e-4,Consumer Discretionary,619996
PNR,Pentair plc,2.4032659182195648e-4,Industrials,1808377
HOG,Harley-Davidson Inc.,2.3731249581618942e-4,Consumer Discretionary,1832183
HBI,Hanesbrands Inc.,2.34188250122504e-4,Consumer Discretionary,4059062
FOX,Fox Corporation Class B,2.333571206591197e-4,Communication Services,1791202
LB,L Brands Inc.,2.2982231703773842e-4,Consumer Discretionary,2514827
NKTR,Nektar Therapeutics,2.288309698464729e-4,Health Care,1902092
NWL,Newell Brands Inc,2.2723880617565243e-4,Consumer Discretionary,4332084
HRB,H&R Block Inc.,2.26507812792194e-4,Consumer Discretionary,2244181
XEC,Cimarex Energy Co.,2.2283281865891652e-4,Energy,1130841
HP,Helmerich & Payne Inc.,2.216612265237845e-4,Energy,1193322
JEF,Jefferies Financial Group Inc.,2.1995891316504564e-4,Financials,2927682
ROL,Rollins Inc.,2.1761572889478158e-4,Industrials,1627360
PWR,Quanta Services Inc.,2.1752560642284834e-4,Industrials,1619757
CPRI,Capri Holdings Limited,2.1448146959310356e-4,Consumer Discretionary,1703080
NWSA,News Corporation Class A,1.992307446204019e-4,Communication Services,4200204
LEG,Leggett & Platt Incorporated,1.9682747870218234e-4,Consumer Discretionary,1449713
IPGP,IPG Photonics Corporation,1.9656712489437523e-4,Information Technology,396505
UAA,Under Armour Inc. Class A,1.9423395423210374e-4,Consumer Discretionary,2038236
DISCA,Discovery Inc. Class A,1.9405370928823727e-4,Communication Services,1710459
AMG,Affiliated Managers Group Inc.,1.9219117820161712e-4,Financials,588519
FL,Foot Locker Inc.,1.9042878319492273e-4,Consumer Discretionary,1286001
TRIP,TripAdvisor Inc.,1.8580249630235007e-4,Communication Services,1126967
UA,Under Armour Inc. Class C,1.7196369005660243e-4,Consumer Discretionary,2064110
GPS,Gap Inc.,1.5723367269951502e-4,Consumer Discretionary,2411815
MAC,Macerich Company,1.4105168218350326e-4,Real Estate,1180164
JWN,Nordstrom Inc.,1.383279808095211e-4,Consumer Discretionary,1261155
COTY,Coty Inc. Class A,0.00013577451077141281,Consumer Staples,3366776
NWS,News Corporation Class B,6.15035802904357e-5,Communication Services,1256728
